plan_name,price_usd,effective_monthly_fee_usd,annual_fee_usd,annual_discount_pct,served_model,monthly_tokens,raw_usd_per_mtok,benchmark_note,confidence,plan_id,plan_name_en,plan_gen,workload,unmetered,promo_until
MiMo Token Plan Pro 日间,50.0,50.0,600.0,0.0,mimo-v2.6-flash,6985000000,0.0071581961,[Pending DeepSWE],medium,mimo_token_pro_day,MiMo Token Plan Pro (Day),,standard,False,
MiMo Token Plan Pro 夜间0.8×,50.0,50.0,600.0,0.0,mimo-v2.6-flash,8732000000,0.005726065,[Pending DeepSWE],medium,mimo_token_pro_night,MiMo Token Plan Pro (Night 0.8x),,standard,False,
MiMo Token Plan Pro 日间,50.0,50.0,600.0,0.0,mimo-v2.5-pro,2940000000,0.017006803,[Pending DeepSWE],medium,mimo_token_pro_day,MiMo Token Plan Pro (Day),,standard,False,
MiMo Token Plan Pro 夜间0.8×,50.0,50.0,600.0,0.0,mimo-v2.5-pro,3675000000,0.013605442,[Pending DeepSWE],medium,mimo_token_pro_night,MiMo Token Plan Pro (Night 0.8x),,standard,False,
MiMo Token Plan Pro 日间,50.0,50.0,600.0,0.0,mimo-v2.5,6985000000,0.0071581961,[Pending DeepSWE],medium,mimo_token_pro_day,MiMo Token Plan Pro (Day),,standard,False,
MiMo Token Plan Pro 夜间0.8×,50.0,50.0,600.0,0.0,mimo-v2.5,8732000000,0.005726065,[Pending DeepSWE],medium,mimo_token_pro_night,MiMo Token Plan Pro (Night 0.8x),,standard,False,
MiMo Token Plan Max 日间,100.0,100.0,1200.0,0.0,mimo-v2.6-pro,6344000000,0.015762926,[Pending DeepSWE],medium,mimo_token_max_day,MiMo Token Plan Max (Day),,standard,False,
MiMo Token Plan Max 夜间0.8×,100.0,100.0,1200.0,0.0,mimo-v2.6-pro,7930000000,0.01261034,[Pending DeepSWE],medium,mimo_token_max_night,MiMo Token Plan Max (Night 0.8x),,standard,False,
MiMo Token Plan Max 日间,100.0,100.0,1200.0,0.0,mimo-v2.6-flash,15074000000,0.0066339392,[Pending DeepSWE],medium,mimo_token_max_day,MiMo Token Plan Max (Day),,standard,False,
MiMo Token Plan Max 夜间0.8×,100.0,100.0,1200.0,0.0,mimo-v2.6-flash,18842000000,0.0053072922,[Pending DeepSWE],medium,mimo_token_max_night,MiMo Token Plan Max (Night 0.8x),,standard,False,
